well,Date,subsidence,tds,gwr_elev
895,6/1/17,27.91,,
895,5/31/17,32.18,,
895,5/30/17,22.33,,
895,5/29/17,31.35,,
895,5/28/17,24.3,,
895,5/27/17,25.73,,
895,5/26/17,28.65,,
895,5/25/17,29.58,,
895,5/24/17,24.34,,
895,5/23/17,23.95,,
895,5/22/17,30.63,,
895,5/21/17,27.4,,
895,5/20/17,27.04,,
895,5/19/17,20.61,,
895,5/18/17,21.57,,
895,5/17/17,28.08,,
895,5/16/17,25.1,,
895,5/15/17,17.23,,
895,5/14/17,25.23,,
895,5/13/17,22.78,,
895,5/12/17,21.46,,
895,5/11/17,21.63,,
895,5/10/17,26.03,,
895,5/9/17,11.11,,
895,5/8/17,24.7,,
895,5/7/17,23.08,,
895,5/6/17,18.22,,
895,5/5/17,25.09,,
895,5/4/17,20.3,,
895,5/3/17,22.61,,
895,5/2/17,23.59,,
895,5/1/17,22.04,,
895,4/30/17,17.45,,
895,4/29/17,20.2,,
895,4/28/17,24.97,,
895,4/27/17,21.59,,
895,4/26/17,25.12,,
895,4/25/17,30.06,,
895,4/24/17,34.52,,
895,4/23/17,23.9,,
895,4/22/17,16.39,,
895,4/21/17,17.09,,
895,4/20/17,17.43,,
895,4/19/17,19.81,,
895,4/18/17,21.8,,
895,4/17/17,24.32,,
895,4/16/17,21.67,,
895,4/15/17,20.25,,
895,4/14/17,24.97,,
895,4/13/17,17.13,,
895,4/12/17,16.78,,
895,4/11/17,20.17,,
895,4/10/17,20.77,,
895,4/9/17,26.24,,
895,4/8/17,23.18,,
895,4/7/17,28.53,,
895,4/6/17,24.66,,
895,4/5/17,20.72,,
895,4/4/17,23.09,,
895,4/3/17,23.16,,
895,4/2/17,20.4,,
895,4/1/17,20.87,,
895,3/31/17,26.86,,
895,3/30/17,24.04,,
895,3/29/17,19.91,,
895,3/28/17,17.99,,
895,3/27/17,23.44,,
895,3/26/17,22.16,,
895,3/25/17,23.21,,
895,3/24/17,21.62,,
895,3/23/17,27.87,,
895,3/22/17,15.3,,
895,3/21/17,4.45,,
895,3/20/17,19.07,,
895,3/19/17,22.93,,
895,3/18/17,20.87,,
895,3/17/17,21.64,,
895,3/16/17,25.37,,
895,3/15/17,19.25,,
895,3/14/17,24.81,,
895,3/13/17,20.08,,
895,3/12/17,22.81,,
895,3/11/17,19.99,,
895,3/10/17,10.11,,
895,3/9/17,16.06,,
895,3/8/17,22.29,,
895,3/7/17,21.88,,
895,3/6/17,23.37,,
895,3/5/17,22.68,,
895,3/4/17,20.92,,
895,3/3/17,22.78,,
895,3/2/17,19.99,,
895,3/1/17,18.47,,
895,2/28/17,24.01,,
895,2/27/17,21.55,,
895,2/26/17,25.71,,
895,2/25/17,28.65,,
895,2/24/17,23.69,,
895,2/23/17,24.82,,
895,2/22/17,23.69,,
895,2/21/17,8.24,,
895,2/20/17,19.19,,
895,2/19/17,28.41,,
895,2/18/17,22.95,,
895,2/17/17,25.55,,
895,2/16/17,24.94,,
895,2/15/17,24.51,,
895,2/14/17,18.7,,
895,2/13/17,19.14,,
895,2/12/17,15.86,,
895,2/11/17,20.49,,
895,2/10/17,24.25,,
895,2/9/17,22.72,,
895,2/8/17,28.52,,
895,2/7/17,29.06,,
895,2/6/17,27.91,,
895,2/5/17,26.14,,
895,2/4/17,18.38,,
895,2/3/17,20.4,,
895,2/2/17,17.04,,
895,2/1/17,24.26,,
895,1/31/17,22.23,,
895,1/30/17,21.64,,
895,1/29/17,16.12,,
895,1/28/17,20.13,,
895,1/27/17,18.93,,
895,1/26/17,23.03,,
895,1/25/17,21.28,,
895,1/24/17,27.31,,
895,1/23/17,21.1,,
895,1/22/17,24.22,,
895,1/21/17,32.25,,
895,1/20/17,34.43,,
895,1/19/17,30.2,,
895,1/18/17,27.38,,
895,1/17/17,26.82,,
895,1/16/17,27.35,,
895,1/15/17,26.13,,
895,1/14/17,20.67,,
895,1/13/17,27.16,,
895,1/12/17,20.02,,
895,1/11/17,27.31,,
895,1/10/17,28.94,,
895,1/9/17,25.61,,
895,1/8/17,25.95,,
895,1/7/17,21.03,,
895,1/6/17,33.79,,
895,1/5/17,29.2,,
895,1/4/17,17.25,,
895,1/3/17,27,,
895,1/2/17,33.95,,
895,1/1/17,37.34,,
895,12/31/16,35.4,,
895,12/30/16,28.71,,
895,12/29/16,23.96,,
895,12/28/16,30.06,,
